COVID-19;USA
Dickeya blackleg;Morocco
Japanese encephalitis;Taiwan
Rabies;Americas, Caribbean, South America, USA
White nose syndrome;USA
Viral gastroenteritis;United Kingdom, Ireland
Influenza pandemic (H1N1);India
Legionellosis;Spain
Tuberculosis, XDR;South Africa
Cholera;Ukraine
Rabies;Uruguay
Anthrax;Bangladesh
Anthrax;Canada
Equine encephalitis;Mexico
Infection;USA
Cholera, diarrhea & dysentery;Yemen
Legionellosis;Canada
Avian influenza;China
Rabies;USA
Undiagnosed disease;Afghanistan
Salmonellosis;USA
Dengue/DHF;Vietnam
African swine fever;Ukraine
Marburg virus disease;Uganda
Undiagnosed deaths;Taiwan
Vibrio vulnificus;South Korea
Influenza-like illness;Papua New Guinea
Nil;USA
Leishmaniasis;Libya
Avian cholera;Canada
Hendra virus;Australia
West Nile virus;Mexico
Mumps;USA
Avian influenza;Indonesia
Hepatitis A;Australia
Lassa fever;West Africa, Nigeria
Equine piroplasmosis;USA
Foot & mouth disease;Russia
Avian influenza;Mexico
Amebic meningoencephalitis;USA
Foot & mouth disease;Mongolia
E. coli infections;USA
Esca disease;Nil
Chikungunya;India
Infectious salmon anemia;Canada
COVID-19;Nil
West Nile virus;USA
Gastroenteritis;USA
Poliomyelitis;Papua New Guinea
Foot & mouth disease;South Africa
Legionellosis;Spain
Pneumonic plague;Democratic Republic of the Congo
Nil;Nil
Foot & mouth disease;Algeria
Nil;USA
Bovine tuberculosis;United Kingdom
Hemorrhagic fever with renal syndrome;Russia
Nil;India
COVID-19;Nil
Fusarium wilt;Ireland, United Kingdom
Leaf rust;United Kingdom
African swine fever;Czech Republic
E. coli EHEC;Finland
Cutaneous & renal glomerular vasculopathy;United Kingdom
Encephalitis;Greece
Anthrax;Kyrgyzstan
Avian influenza;East Asia
Avian influenza;USA
Q fever;Germany
SARS;Nil
Hepatitis B;USA
Citrus tristeza virus;Sudan, Jordan
BSE;Canada
Yellow fever;Guinea
Crimean-Congo hemorrhagic fever;Pakistan, Saudi Arabia
Anthrax;Mozambique
Botulism;Portugal
Ebola hemorrhagic fever;Republic of the Congo
Ebola hemorrhagic fever;Hungary
Cholera, diarrhea & dysentery;Somalia
Hendra virus;Australia
Zika virus;Americas, Asia, Europe, Middle East
Anthrax;United Kingdom, Germany
Cholera;Venezuela
Nil;Colombia
Hantavirus;Panama
Blast disease;Australia
Japanese encephalitis;India
Fire blight;Australia
Rift Valley fever;Kenya
Dengue/DHF;El Salvador
Mushroom poisoning;Kyrgyzstan
Echinococcus multilocularis;Sweden
Nil;USA
West Nile virus;Germany
Meningitis, meningococcal;Mozambique
Nil;United Kingdom
Nil;Nil
African swine fever;China
Brucellosis;China
Scrub typhus;Nepal
Salmonellosis;United States of America
Human enterovirus D68;North America
Yellow fever;Democratic Republic of the Congo
Undiagnosed febrile illness;India
Japanese encephalitis;India
Avian influenza;Sweden, Germany
Rhizoctonia;United Kingdom
Peste des petits ruminants;China
Prion disease;Nil
Leptospirosis;Fiji
Salmonellosis;Sweden
Foot & mouth disease;Pakistan
Equine herpesvirus;United States of America
Salmonellosis;United States of America
Trypanosomiasis;India
Antibiotic resistance;Netherlands
Influenza B;Australia
Haemophilus influenzae;Canada
Yellow fever;Democratic Republic of the Congo, Angola
Dengue;Nil
Undiagnosed fungus;Armenia
Shigellosis;United States of America
Lumpy skin disease;Russia, Kazakhstan
Paralytic shellfish poisoning;New Zealand
Avian influenza;China
COVID-19;Nil
Brucellosis;Nigeria
Leptospirosis;Argentina
Q fever;Germany
Lassa fever;Liberia
Yellow fever;Nigeria
Rabies;Russia
Avian influenza;China (Hong Kong)
Eastern equine encephalitis;United States of America
Anthrax;Kyrgyzstan
Avian influenza;Canada
