Undiagnosed rust;Kenya
Bluetongue;Germany
Foot & mouth disease;United Kingdom
Eastern equine encephalitis;USA
Anthrax;Russia
Avian influenza;Israel
MERS-CoV;Saudi Arabia, Yemen
Vibrio parahaemolyticus;USA
Meningitis, meningococcal;Nigeria
Influenza pandemic (H1N1);Nil
Hemorrhagic fever with renal syndrome;Russia
West Nile virus;USA
COVID-19;China, South Africa
Louse-borne relapsing fever;Germany
Contagious equine metritis;USA
Japanese encephalitis;Taiwan
Cholera, diarrhea & dysentery;Cuba
Newcastle disease;Peru
Dengue/DHF;Nil
Buruli ulcer;São Tomé and Príncipe
Measles;Nil
Schistosomiasis;Tanzania
Avian influenza;South Africa
MPA food and feed contamination;Europe
Undiagnosed pneumonia;Afghanistan
Anthrax;South Africa
Measles;Democratic Republic of the Congo, Pakistan
Diphtheria;Americas
Japanese encephalitis;India
Malaria;India
Crimean-Congo hemorrhagic fever;Russia
Monkeypox;USA
Avian influenza;Iraq
COVID-19;Nil
Tuberculosis;USA
Leptospirosis;Nil
Legionellosis;USA
Spotted fever;Germany
Ebola;Democratic Republic of the Congo
COVID-19;Denmark
Cholera, diarrhea & dysentery;Yemen
Listeriosis;South Africa
Foot and mouth disease;Libya
HIV;USA
Chloramphenicol in honey;USA
Measles;Philippines
Avian influenza;Viet Nam
Diphtheria;Pakistan
Foodborne illness;India
Rabies;USA
Zika virus;United States of America
Yellow fever;Sudan
Porcine reproductive & respiratory syndrome;Viet Nam
Creutzfeldt-Jakob disease;Nil
Histoplasmosis;Italy, Mexico
Influenza pandemic (H1N1);Canada, China, France
Lassa fever;Germany, Nigeria
Avian influenza;Asia
Lassa Fever;South Africa, Nigeria
Dengue/DHF;Nil
Feline spongiform encephalopathy;Switzerland
Hemorrhagic disease;Kenya
Dengue/DHF;Latin America
E. coli VTEC;Norway
Anthrax;Uganda
Foot & mouth disease;Japan
Influenza A (H1N1);Nil
Rift Valley fever;Kenya
Nil;Nil
MERS-CoV;South Korea, Saudi Arabia, Thailand
Avian influenza;China
Influenza;Nil
Foot & mouth disease;Peru
West Nile virus;Nil
Influenza;New Zealand
Dengue;Brazil
Nil;United States of America
MERS-CoV;Saudi Arabia, Jordan, Egypt
Nil;Spain
Bluetongue;United Kingdom
Anthrax;Russia
Hepatitis B;India
African swine fever;China
COVID-19;China
Lassa fever;Nigeria
Chikungunya;India
Foot & mouth disease;Bulgaria
Tularemia;United States of America
Anthrax;India
Pseudozyma aphidis;Argentina
Yellow fever;Zambia
BSE, bovine;Romania
Legionellosis;Portugal
Chikungunya;France, Democratic Republic of the Congo
Plague, bubonic;United States of America
Nil;Viet Nam
Classical swine fever;Nicaragua
Nil;India
Dengue/DHF;Nil
Nil;United Kingdom
Japanese encephalitis;Malaysia
Dysentery;Russia
