Chickenpox;Thailand
Leptospirosis;Australia
Hendra virus;Australia
Babesiosis, Lyme disease;Canada
COVID-19;Nil
African swine fever;Russia
Red tide;Philippines
E. coli EHEC;USA
Japanese encephalitis;India
Undiagnosed disease;USA
Yellow fever;Brazil
Nil;India
Hemorrhagic disease;Russia
Monkeypox;Nil
Palytoxin;United Kingdom
Salmonellosis;Romania
Avian influenza;Belgium
Trichinellosis;Lithuania
Beach contaminant;United Kingdom
Blight;United Kingdom
Rabies;USA
Blast disease;Bangladesh
Rabies;France
Aspergillus meningitis;USA
African horse sickness;South Africa
Invasive mosquito;USA
Yellow fever;Peru
Malaria;India
MERS-CoV;United Arab Emirates, Saudi Arabia
Greening disease;El Salvador
Salmonellosis;USA
Yellow fever;Paraguay
Mycobacterium ulcerans;Nil
Staphylococcus aureus;Japan
Listeria;USA
Alcohol poisoning;India
Melioidosis;Nil
Yellow fever;Nil
Equine infectious anemia;Peru
Rabies;Mexico
COVID-19, mucormycosis;Nil
Jaundice;India
Foot & mouth disease;Kyrgyzstan
Leptospirosis;USA
Anthrax;Slovakia
Marburg hemorrhagic fever;Democratic Republic of the Congo
Legionellosis;United Kingdom
Syphilis;USA
Bluetongue;Turkey
Avian influenza;Canada
Anthrax; Burkina Faso
Rabbit Hemorrhagic Disease; Australia
CS Gas Discharge; United Kingdom
Coccidioidomycosis; United States
Blast Disease & Bacterial Blight, rice; Viet Nam
Japanese Encephalitis; India
Gonococcal Disease; Australia
Bluetongue; Europe
West Nile Virus; United Arab Emirates
Antibiotic Resistance; India
Heavy Metal Poisoning; Russia
Hemorrhagic fever; Rwanda
Yellow Fever; Nigeria
Lassa Fever; Benin
Rabies; South Africa
Kunjin/Barmah Forest/Ross River Viruses; Australia
West Nile Virus; Nil
Plague, Pneumonic; Democratic Republic of the Congo
Cyclosporiasis; United States
Chikungunya; Caribbean
Yersiniosis; Sweden
Huanglongbing, Citrus; United States
Hantavirus; Argentina
Nonpolio Enteroviruses & Parechoviruses; United States
Avian Influenza; China
Peste des Petit Ruminants; Ethiopia
Undiagnosed Foodborne Paralytic Illness; New Zealand
Coxsackie B4 & Diabetes; Nil
Ebola; Democratic Republic of the Congo
Influenza Pandemic; Nil
Undiagnosed Virus, Watermelon; India
Yellow Fever; Sudan
Zucchini Yellow Mosaic, Bottlegourd; India
Hand Foot & Mouth Disease; Singapore
Pertussis; United States
Toxic Algae, Municipal Water; United States
Bluetongue; Europe
E. Coli 0157; Nil
Paratyphoid Fever, Food Workers; Armenia
Brucellosis, Bovine; Uruguay
Avian Influenza; Indonesia
Salmonellosis; United States
Anthrax; United States
Avian Influenza; Poland
Avian Influenza; Egypt
Rabies; Hungary
Food Poisoning; United States
Tularemia; Italy
Plague; United States
Aflatoxin; United States, Canada
Lassa fever;Guinea
Acute flaccid myelitis;United Kingdom
Yellow fever;Nigeria
Foot & mouth disease;Russia
Chronic wasting disease;USA
Foot & mouth disease;Pakistan
Scab disease, apple;Iraq
Newcastle disease;Botswana
Zika virus;Americas, Asia
Glanders;United Arab Emirates
MERS-CoV;Saudi Arabia
E. coli EHEC;United Kingdom
Rabies;Germany
Legionellosis;Canada
Avian influenza;Egypt
COVID-19;China, South Korea, Nil
Phytoplasma;Lithuania
Trypanosomiasis;Congo Brazzaville
Vaping-related illness;USA
Foodborne illness;Brazil
Tularemia;USA
Ebola hemorrhagic fever;Uganda
Ehrlichiosis;Nil
Influenza;Europe
Tuberculosis;United Kingdom
Legionellosis;USA
Nil;Canada
Ebola hemorrhagic fever;Republic of the Congo
Feline panleukopenia;USA
Plague;Nil
African swine fever;South Africa
Dengue;Brazil
Diarrheal disease;Afghanistan
Rabies;Indonesia
Poliomyelitis;Namibia
Eastern equine encephalitis;Ecuador
Dengue;USA
Yellow fever;Brazil
Nil;Indonesia
Cholera, diarrhea & dysentery;Haiti, Dominican Republic
Foot & mouth disease;Israel
Avian influenza;Egypt, Indonesia
Rabies;Bolivia
Hantavirus pulmonary syndrome;Chile
West Nile virus;USA
Nil;USA
Avian influenza;China
Cholera;Kenya
Tuberculosis-like disease;France
Undiagnosed illness;Egypt
Yellow fever;Angola, Democratic Republic of the Congo
Nil;Nil
Nil;Canada
Eastern equine encephalitis;Delaware, New York
Rabies;USA
Listeriosis;USA
Hantavirus pulmonary syndrome;Argentina
Brucellosis;Croatia
African swine fever;Democratic Republic of the Congo
Nil;India
Nil;Peru
Influenza H5N1;China
Hepatitis A;USA
Plague;Uganda
Salmonellosis;Lithuania
Cholera, diarrhea & dysentery;Haiti
Rabies;Brazil
Hand, foot & mouth disease;Thailand
Nil;Kenya
Tick-borne encephalitis, Lyme disease;Czech Republic
Anthrax;India
MERS-CoV;Nil
Nil;USA
Nil;Norway
COVID-19;Nil
Nil;Bangladesh
Anthrax;USA
Anthrax;USA
Cytauxzoonosis;USA
Botulism;USA
Nil;Philippines
Gastroenteritis;Mexico
Dysentery;South Korea
Syphilis;Ireland
Thelazia gulosa;USA
African swine fever;Belarus, Russia
Hemorrhagic fever;Uganda
Encephalitis;India
Influenza;USA
Smallpox;Nil
Foot rot;Australia
Herpesvirus;United Kingdom
Botulism;USA
Tomato chlorosis virus;Albania
Staphylococcus aureus (MRSA);Nil
Equine viral arteritis;USA
Yellow fever;Guinea
MERS-CoV;Bahrain, Saudi Arabia
E. coli O157;USA
Anthrax, Foot and mouth disease;Zimbabwe
E. coli EHEC;United States of America
Mucormycosis;Australia
Rift Valley fever;Turkey
Chikungunya;China
Plague;Mongolia
Influenza pandemic (H1N1);Nil
Japanese encephalitis;China
Rabies;Angola
Nil;South Sudan
Whirling disease;United States of America
Salmonellosis;United States of America
Avian influenza;Germany
Alcohol contamination;Russia
E. coli EHEC;United Kingdom
Hemorrhagic fever;Italy, Senegal
Foot & mouth disease;South Korea
Multisystemic wasting syndrome;United Kingdom
Meningitis;United States of America
Angiostrongylus;Spain
Red rot;India
Anthrax;Kyrgyzstan
Tahyna virus;Nil
