Rift Valley fever;East Africa
Puccinia polysora;Argentina
Legionellosis;Spain
Rhizome rot;Bhutan
Kyasanur Forest disease;India
Japanese encephalitis;India
Dengue/DHF;Taiwan
Rabies;Taiwan
Novel coronavirus;Saudi Arabia
Rabies;Russia
Avian influenza;Denmark
Avian influenza;Japan
Avian influenza;Russia
Ballina virus;Australia
COVID-19;USA
Undiagnosed ulcers;Israel
Lyme disease;USA
CJD;United Kingdom
Pertussis;USA
Foot & mouth disease;Armenia
Cutaneous & renal glomerular vasculopathy;United Kingdom
Staphylococcus aureus MRSA;Norway
Typhoid fever;Zambia
Die-off, Columnaris disease;Canada
Salmonellosis;USA
Leptospirosis;Singapore
Undiagnosed illness;Vietnam
E. coli O157;USA
Brucellosis;USA
Equine infectious anemia;USA
Salmonellosis;USA
Acidovorax citrulli;Greece
Hepatitis A;USA
Avian influenza;Thailand, Laos, Cambodia, Egypt, China
Toxoplasmosis;USA
Salmonellosis;USA
Ebola;Democratic Republic of the Congo
Cholera, diarrhea & dysentery;Haiti
Nil;Malawi
Equine encephalosis;Ethiopia
Equine herpesvirus;USA
West Nile virus;Brazil
Hand, foot & mouth disease;Hong Kong
Legionellosis;Canada
African swine fever;Ukraine, Moldova
Avian influenza;Turkey
Avian influenza;Multicountry
Pertussis;United Kingdom
Staphylococcus, MRSA;USA
Ebolavirus;USA
Snake fungal disease;United States
Late blight, potato;India, Bangladesh
E. coli O157;United States
COVID-19;Nil
Legionnaire's disease;Nil
Lassa fever;Benin
Chronic wasting disease;United States
Marburg hemorrhagic fever;Democratic Republic of the Congo
Syphilis;Nil
Malaria;Israel, Thailand
Hand, foot & mouth disease;China
Hepatitis;Pakistan
Vegetable diseases;United Kingdom
Conjunctivitis, trachoma;Sudan
Avian influenza;Indonesia
Yellow fever;South America
Rift Valley fever;Sudan
Foot & mouth disease;China
Rabies;Nepal
Fungal diseases;Americas
Avian influenza, H6;South Africa
Hantavirus;United States
Cholera, avian influenza;United States
Undiagnosed disease;Germany
Hemorrhagic fever;Russia
Dysentery;Kenya
Cysticercosis;South Africa
Hand, foot & mouth disease;Southeast Asia
Undiagnosed mortality, caprine;India
Malaria, cervid;United States
Rabies;Americas
Influenza;Nil
Avian influenza;European Union
COVID-19;Nil
Ebola hemorrhagic fever;Uganda
Anthrax;Kazakhstan
Staphylococcus aureus, VRSA;United States
Avian influenza, human;Cambodia
Dengue;United States, Mexico
Epizootic hemorrhagic disease;United States
Barley yellow dwarf virus-PAS, wheat;Turkey
Mycobacterium simiae;Nil
Hand, foot & mouth disease;Maldives
Plague, animal;United States
St. Louis encephalitis;United States
Avian influenza;Indonesia
Dengue/DHF;Nil
Malaria vaccine trial;Nil
Rubella;Japan
Anthrax;France
Legionellosis;Denmark
Australian bat lyssavirus;Australia, South Australia
Sheep pox & goat pox;Israel, Hefer Valley
MERS-CoV;Kenya
Foot & mouth disease;Tunisia, Maghreb, Algeria
African horse sickness;Swaziland
Newcastle disease;USA, California
Anthrax;Ghana, Upper East
Crimean-Congo hemorrhagic fever;Pakistan, Khyber Pakhtunkhwa
Measles;Nil
Japanese encephalitis;India, Bihar, Uttar Pradesh
Bluetongue;France
Creutzfeldt-Jakob disease;Nil
Ciguatera toxin;USA
Pneumococcal disease;Canada, Alberta
Typhoid fever;Democratic Republic of the Congo, Kinshasa
Rabies;Italy, North East
Venezuelan equine encephalitis;Nicaragua, Honduras
Chikungunya;Mauritius, Reunion Island
Progressive inflammatory neuropathy;USA
Mycoplasma bovis;New Zealand
Nil;Nil
Poliomyelitis;Pakistan, India
Pfiesteria;USA, Virginia
Zika virus;Nil
Cyclosporiasis;Canada, Ontario, British Columbia
Brucellosis;USA, Wyoming
Infectious hematopoietic necrosis;Canada, British Columbia
Foot & mouth disease;China
Filariasis;India, Maharashtra
Peste des petits ruminants;Nepal
West Nile virus;Nil
Nil;Nil
Foot & mouth disease;South Korea
Bacterial fruit blotch;Israel
Equine infectious anemia;Canada, Alberta
Peste des petits ruminants;Bangladesh
MERS-CoV;Saudi Arabia, Qassim, Hail
Mucormycosis;India
African swine fever;Belgium, Luxembourg, France
Undiagnosed disease;India, Assam
Influenza;Brazil
Yellow fever;Brazil, Sao Paulo
COVID-19;China, Taiwan
Zika virus;Nil
Cowpea mild mottle virus;Jordan
Leptospirosis;Netherlands, Dominican Republic
Leishmaniasis;Pakistan, Khyber Pakhtunkhwa
COVID-19;Nil
Influenza A (H1N1);Nil
Central venous catheter infection;United States of America
Bovine Spongiform Encephalopathy (BSE), cattle;Brazil
MPA food and feed contamination;Europe
Tick paralysis, human;Egypt
Influenza A (H1N1);Worldwide
Avian influenza, human;Egypt
Eastern equine encephalitis, horse;United States of America
Equine herpesvirus, equine;United States of America
Tularemia, animal;United States of America
Chikungunya;India
Tick-borne relapsing fever, Plasmodium vivax malaria;Germany, Afghanistan
COVID-19;United States of America
Undiagnosed respiratory disease;China
Avian influenza;China
Escherichia coli (EHEC);United Kingdom
Nil;Nicaragua
Malaria, Plasmodium vivax;Greece
Avian influenza H5N2, poultry;United States of America
Nil;India
HIV;Australia
Foodborne disease;United States of America
Neospora caninum;United Kingdom
Anthrax;India
Salmonellosis;United States of America
Legionellosis;United States of America
Measles;Nil
Lassa fever;Benin
Nil;Kenya
Staphylococcal toxin;Canada
Pacific oyster mortality syndrome;Australia
Crimean-Congo hemorrhagic fever;United Kingdom, Afghanistan
Rubella;Taiwan
Hepatitis B and C;Pakistan
Scabies;Mexico
Tularemia;Sweden
Foot-and-mouth disease, bovine;Japan
Food poisoning, turtle meat;Papua New Guinea
Eggplant mottled dwarf virus;Slovenia
Botulism;Brazil
Schistosomiasis;Germany, France
Scrub typhus;India
Meningococcal meningitis;Sudan
Hydrocarbon poisoning, rice;Guinea
