Chikungunya;Republic of the Congo
Bird die-off, botulism?;Canada
CJD;United Kingdom
Trichomoniasis, avian;Australia
COVID-19;Denmark
Anthrax;India
Streptococcus, group A, nosocomial;China
White nose syndrome;United States
Brown streak and mosaic, cassava;Tanzania
Chikungunya;Madagascar
Legionellosis;Portugal
Bluetongue;Spain
Botulism;Canada
Black spot, citrus;Tunisia
Citrus bark cracking viroid;Germany
Eastern equine encephalitis;United States
Monkeypox;Nigeria
Cholera, diarrhea & dysentery;Nil
Thread blight, coffee;India
Avian influenza;Indonesia
Avian influenza;India
Theileria, bovine;Australia
Soybean rust, Asian strain;United States
Smallpox vaccination strategies;United States
Dengue/DHF;Nil
Lymphogranuloma venereum;Spain
Salmonellosis;Australia
Cysticercus bovis;Zimbabwe
Undiagnosed hemorrhagic illness;China
Foot & mouth disease;China
West Nile virus;Nil
Pertussis;United States
Cholera, diarrhea dysentery;Haiti, Dominican Republic
Undiagnosed encephalitis;India
Dengue;Malaysia
Undiagnosed illness;Canada
Hepatitis A;Canada
Antibiotic-resistant Enterobacteriaceae;United States
Haff disease;Brazil
Heavy metal poisoning, tin;India
White phosphorus intoxication;Russia
Anthrax;United States
Cholera;Iran
Crimean-Congo hemorrhagic fever;Pakistan
Rabies;Thailand, Malaysia
Influenza pandemic (H1N1);Nil
Foodborne illness, fish;China
Botulism, bottled garlic;Denmark
Avian influenza, human;East Asia
West Nile virus;United States
Trypanosomiasis;Uganda
Influenza;USA
Schmallenberg virus;Europe, Russia
Nil;USA
Tomato yellow mosaic begomovirus;Brazil
Avian influenza;Bhutan
Lassa fever;Sierra Leone
Vaping related illness;Belgium
Herpes simplex virus;Mexico
Measles;USA, Asia, Europe, South America
Avian vacuolar myelinopathy;USA
African swine fever;Estonia
Red tide, shellfish poisoning;Central America
Streptococcus, group A;Canada
Botulism;USA
Lassa fever;Nigeria
Anthrax;Spain
Rift Valley fever;Saudi Arabia
Nil;USA
Meningitis, meningococcal;Mexico
Ebola;Liberia, Sierra Leone
Fungal infection;USA
Equine infectious anemia;Canada
Botulism;China, Hong Kong
Anthrax;USA
Avian influenza;South Korea, EU
Avian influenza;Iraq
Measles;Nil
Anthrax;Kenya
Ebola virus disease;Nil
