African swine fever;Ukraine
Mycoplasma bovis;New Zealand
Listeriosis;Macedonia
Leprosy;India
Tuberculosis, MDR;Singapore
Hantavirus pulmonary syndrome;USA
Avian influenza;Sweden, Russia
Plague;USA
Salmonellosis;Australia
Eastern equine encephalitis;USA
Measles;Europe, Americas, Southeast Asia
Rabies;Switzerland, Morocco
MERS-CoV;Nil
Lumpy skin disease;Russia
Acute flaccid myelitis, human enterovirus D68;North America
MERS-CoV;Saudi Arabia
Murine typhus;New Zealand
Marburg hemorrhagic fever;Angola
Panama disease TR4;Myanmar
Equine infectious anemia, equine herpesvirus;USA
Avian influenza;Indonesia
Rift Valley fever;Saudi Arabia
Measles;Americas, Europe, Asia
Jamestown Canyon virus;USA
Anthrax;Argentina
Monkeypox;Nil
Serratia marcescens;USA
Prion disease;Nil
Salmonellosis;United Kingdom
West Nile virus;Canada
Meningococcal disease;Niger
Newcastle disease;USA
Foot & mouth disease;Mongolia
Nipah virus;Bangladesh
Cholera, diarrhea & dysentery;Nil
African swine fever;Asia, China
Nil;Nil
E. coli EHEC;USA
Japanese encephalitis;Malaysia
Hepatitis A & E;India
Malaria;Africa
Anthrax;Kenya
Lumpy skin disease;Laos
Avian influenza;Indonesia
Hepatitis, undefined;USA, Europe
Avian influenza;Italy
Eastern equine encephalitis;USA
White nose syndrome;USA
Banana bunchy top virus;Uganda
Plague;USA
Foodborne hazards;United States of America
Anthrax;United States of America
Botulism;Viet Nam
Nil;Nil
Influenza;Europe, Hong Kong, United States of America
Eastern equine encephalitis;United States of America
Tick-borne encephalitis virus;Canada
Dengue fever;Nil
Infectious hematopoietic necrosis;United States of America
Avian influenza;Indonesia
COVID-19;Israel
Bluetongue;Europe
Anthrax;United States of America
Johne's disease;Australia
MERS-CoV;Saudi Arabia
Hepatitis A;Ukraine
Plague;United States of America
Salmonellosis;Canada
Rabies;United States of America
Bluetongue;Bulgaria
Rabies;Russia
African swine fever;Russia
Abalone viral ganglioneuritis;Australia
MERS-CoV;Saudi Arabia
Ebola virus disease;Liberia
Malaria;United States of America
Canine distemper;United States of America
Panama disease;Australia
Bluetongue;Israel
Salmonellosis;United States of America
Canine influenza;United States of America
Yellow fever;Brazil
Foodborne illness;United States of America
Avian influenza;Turkey
Rabbit hemorrhagic disease;United States of America
SARS;Nil
Nipah encephalitis;Bangladesh
Anthrax;Tanzania
Undiagnosed deaths;Thailand
Equine infectious anemia;Bulgaria
Avian influenza;India
Bluetongue;Israel
Tuberculosis;Europe
Foot-and-mouth disease;United Kingdom
Lumpy skin disease;Kazakhstan
Yellow fever;Colombia
Yellow fever;Senegal
Avian influenza;Denmark
Rabies;Indonesia
Measles;South Africa
Chikungunya;India
Rift Valley fever;Mauritania
Chlorotic leaf roll, apricot;Hungary
Scrub typhus;Thailand
Shigellosis;USA
West Nile virus;USA
Bluetongue;France
Foot & mouth disease, bovine;Viet Nam
Foot & mouth disease, bovine;Venezuela
Malaria, chloroquine resistant;Kenya
MERS-CoV;Saudi Arabia, Egypt, United Arab Emirates
Leishmaniasis, dogs;USA
E. coli EHEC;USA
Measles;Americas, Africa, Southeast Asia
West Nile virus;USA, Canada
Avian influenza, human;China
Anthrax, human;Turkey
E. coli EHEC;USA
Plague, prairie dogs;USA
BSE;Belgium
Gastroenteritis;Caribbean
Deer tick virus encephalitis;USA
West Nile virus;Italy
Tick-borne encephalitis;USA
Meningitis;Ghana
MERS-CoV;Saudi Arabia
Foot & mouth disease, bovine;Colombia
Foot & mouth disease;Zimbabwe
Salamander die-off;USA
Nil;Australia
Dengue/DHF;Malaysia
Poliomyelitis;Afghanistan
Japanese encephalitis;South Korea
Corynebacterium, equine;USA
Rotavirus vaccine, intussusception;Nil
Meningococcal disease;Nil
Anthrax, human;Russia
Hand, foot & mouth disease;China
Rocky Mountain spotted fever;Mexico
Newcastle disease, avian;Cyprus
Nil;Nil
Methanol poisoning;Costa Rica
Fungal diseases, wheat & oilseed rape;United Kingdom
Rabbit hemorrhagic disease;Norway
Japanese encephalitis;Indonesia
Rocky Mountain spotted fever;USA
Porcine reproductive & respiratory syndrome;South Africa
Epidemic jaundice;India
Undiagnosed transmissible hallucinations;USA
Legionellosis;Netherlands
Vibrio vulnificus;China, Hong Kong
Chikungunya;Indonesia
Measles;USA, Massachusetts, Ireland, Kerry, Dublin
Rabies;France, Mali
Bovine kobuvirus;USA
Colony collapse disorder;USA
Foot & mouth disease;Nil
Diarrhea;Nepal
Lassa fever;Nigeria
Measles;Marshall Islands
Salmonellosis;Canada, British Columbia
Rabies;United Kingdom
Tularemia;USA, Illinois, Colorado
Nil;Russia, Khabarovsk
Measles;Nil
Salmonellosis;USA, New Mexico
Dengue;Vietnam
Foodborne illness;India, Rajasthan
COVID-19;China, South Korea
Cholera;Haiti
Dioxin contamination;Germany, Netherlands
Bacterial black spot;Ghana, Brong Ahafo
Rabies;India, Chandigarh
Coral reef kill;USA, Hawaii
Marburg virus disease;Uganda, Kibaale
Legionellosis;Italy, Trentino
West Nile virus;Brazil, Mato Grosso do Sul
BSE;USA
West Nile virus;Canada
Yellow fever;Brazil
Peanut stripe potyvirus;South Korea
Nil;United Kingdom
Prion disease;Nil
VRE;Japan, Vietnam, France, Thailand
Anthrax;Spain, Extremadura
Nil;Uganda, Wales
Crimean-Congo hemorrhagic fever;Russia, Stavropol
Nil;USA, Wisconsin
Nil;Fiji
Aspergillosis;USA, Washington
HIV/AIDS;Nil
Rift Valley fever;Kenya
Brucellosis;Azerbaijan
Epizootic hemorrhagic disease;USA, Montana
Rabies;China, Beijing
Yellow fever;Democratic Republic of the Congo
Botulism;United Kingdom, Scotland
Nil;Nigeria, Sokoto
Avian influenza;Indonesia
Cholera, diarrhea & dysentery;Cuba, Cienfuegos
Rabies;United States of America
Anthrax;Kyrgyzstan
Legionnaires' disease;Nil
COVID-19;Denmark
E. coli O157;Canada
Rotavirus vaccine research;Nil
Anthrax;Kenya
Anthrax;India
Rabies;China
Prion disease update;Nil
Avian influenza;Eastern Asia
Ebola virus disease;Guinea, Mali
Foot & mouth disease;Uganda
Salmonellosis;North America
Undiagnosed illness;Tanzania
Venezuelan equine encephalitis;Colombia
