White nose syndrome;United States
Equine herpesvirus;Canada
COVID-19;Nil
Avian influenza;Egypt
Circovirus;United States
Eastern equine encephalitis;United States
Avian influenza;South Korea
Equine strangles;Bermuda
Botulism;Brazil
Poliomyelitis;China, Kenya
Anthrax;Argentina
Tomato leaf curl New Delhi virus;Italy
Chikungunya;Myanmar
Avian influenza;Indonesia
Nil;Pakistan
West Nile virus;Canada
West Nile virus;United States
Rabies;Indonesia
Citrus canker;United States
Foot & mouth disease;United States
Rabies;China
Corynebacterium;United States
Rabies;United States, Nepal
Leaf rust;Argentina
BSE (Bovine Spongiform Encephalopathy);Nil
Chikungunya;India
CJD (Creutzfeldt-Jakob Disease);Italy
Salmonellosis;United States, Canada
Cucumber mosaic virus;India
Japanese encephalitis;India
Q fever;Netherlands
Nil;India
Yellow fever;Sudan
Foot & mouth disease;Viet Nam
Tularemia;United States
Influenza;Nil
Mumps;Canada
BSE (Bovine Spongiform Encephalopathy), CJD (new variant);Nil
Stripe rust;Switzerland
Nil;Kazakhstan
Yellow fever;Brazil
La Crosse encephalitis;United States
Mycobacterium bovis;United Kingdom
Rabies;United States
African horse sickness;South Africa
Hendra-like virus;Singapore
Meningitis, meningococcal;United States
Alzheimer's disease;Nil
Q fever;Netherlands
Rabbit hemorrhagic disease virus;New Zealand
MERS-CoV;Saudi Arabia
Anthrax;Bangladesh
Japanese encephalitis;India
Nil;China, Hong Kong
Rabies;Ghana
Anthrax vaccine;USA
West Nile virus;Europe, Spain
Lumpy skin disease;Georgia
Phocine distemper virus;Sweden
Meningitis, meningococcal;Fiji
Rabies;Americas
Malaria;Oman, India
Hantavirus pulmonary syndrome;USA
Yellow fever;Brazil
Cholera, diarrhea & dysentery;Dominican Republic
Influenza pandemic (H1N1);Nil
Dengue/DHF;Asia, Europe, Africa, Pacific
Hepatitis A;France
Antibiotic resistance;USA
Measles;South Africa
MERS-CoV;Saudi Arabia
Rabies;Italy, India
Avian influenza;Viet Nam
BSE;UK
Anthrax;Kyrgyzstan
Avian influenza;China, Hong Kong
Glanders;India
Fungal diseases;UK
Measles;Nil
Avian influenza;Palestinian Authority, West Bank
Pneumonia, canine;USA
Measles;Nil
Meningitis, meningococcal;Australia
Zika virus;Americas, Asia
West Nile virus;Europe, Greece
Avian influenza;Europe
Influenza;Nil
Avian influenza;Philippines
Undiagnosed disease, porcine;China
Trypanosomiasis (Chagas disease);USA
Undiagnosed deaths, bovine;Laos
West Nile virus, Usutu;Europe, Hungary
Leishmaniasis, visceral;Kenya
Shigellosis;USA
Undiagnosed hemorrhagic fever;Sudan
Chikungunya;Bhutan
Chikungunya;Reunion
Mammalian orthoreovirus;Brazil
Hantavirus pulmonary syndrome;USA
Avian influenza;Palestinian Authority
Staphylococcus aureus, vancomycin resistance;Japan
Avian influenza;Canada, USA
COVID-19;Eastern Europe, China
Swine fever, classical;Spain
Influenza virus, receptor specificity;Nil
COVID-19;Israel
Invasive mosquito;Iran
Equine herpesvirus;USA
African horse sickness;Botswana
Murine typhus;USA
Monkeypox;USA
Cholera;Pacific Islands
Campylobacteriosis;United Kingdom
West Nile virus;Israel
BSE;Sweden
White nose syndrome;Nil
Yellow fever;Angola
Avian influenza;Egypt
Shigellosis;USA
Yellow fever;Brazil
Influenza A virus;Nil
Die-off, dolphin;China
African swine fever;Thailand
Malaria;Yemen
Dengue;Nil
Salmonellosis;Sweden
Lead;USA
Swine fever, classical;United Kingdom
Leptospirosis;India
Legionellosis;Australia
Crimean-Congo hemorrhagic fever;Pakistan
MERS-CoV;Saudi Arabia
Avian influenza;India
BSE/CJD;United Kingdom
African swine fever;Moldova
Syphilis;Canada, USA
Salmonellosis;USA
Ebola;Democratic Republic of the Congo
Crimean-Congo hemorrhagic fever;Pakistan
Giardiasis;New Zealand
Lumpy skin disease;Bulgaria
Tick-borne relapsing fever;USA
QX, rock oyster;Australia
Poisoning, cassava;Kenya, Uganda
Ralstonia;France
COVID-19;Papua New Guinea, South Asia
Avian cholera;Canada
Foodborne illness;Algeria
Viral meningitis;Nil
BSE;Nil
Bolivian hemorrhagic fever;Nil
Crazy Soybean II;Brazil
Salmonellosis;Uganda, USA
Equine herpesvirus;USA
Crimean-Congo hemorrhagic fever;Russia
Ebola;Sierra Leone
Potato spindle tuber viroid;USA
Cholera, diarrhea & dysentery;Nil
Avian influenza, dengue;Thailand
Food poisoning;Algeria
Tuberculosis, bovine;USA
Listeriosis;Spain
Hemorrhagic fever;Russia
Ebola;Nil
Ebola;Nil
Japanese encephalitis;India
African swine fever;Romania
Undiagnosed die-off, avian;India
Dengue/DHF;Nil
Unexplained deaths, camel, enterotoxemia susp;Kenya
Equine infectious anemia;USA
Koi herpesvirus disease;Canada
Hepatitis A;USA
Equine herpesvirus;USA
Myxomatosis;Portugal
Shigellosis;South Korea
Streptococcus, group A, scarlet fever;UK
Strep. iniae;Australia
Contagious bovine pleuropneumonia;Guinea
Newcastle disease;Russia
Avian influenza H5N5;Russia
SARS;China
Avian influenza;China, Egypt
Epizootic hemorrhagic disease;USA
Conjunctivitis, viral;Angola, Tonga
Yersiniosis;Norway
COVID-19;Nil
Anthrax;USA
Influenza;Nil
Rabies;USA
Yellow fever;Paraguay, Brazil
Porcine epidemic diarrhea;USA
Tobacco mosaic virus;USA
E. coli EHEC;USA
Brucellosis, ovine;Australia
Infectious pancreatic necrosis;UK
Japanese encephalitis;South Korea
Classical swine fever, PRRS;Philippines
Listeriosis;Sweden
Foot & mouth disease;Brazil
Hepatitis E virus;Uganda
