Skin infections, CA-MRSA;United States
Porcine reproductive & respiratory syndrome;Viet Nam
Hantaviruses;Bosnia-Herzegovina
Avian influenza, HPAI H5N1;Cambodia
Nil;United States
Babesiosis, anaplasmosis;United States
Foot & mouth disease;United Kingdom
HIV;Nil
Foodborne illness;Myanmar
Frog mortality virus;United Kingdom
Anthrax;Croatia
Rabies;Bolivia
Rice viruses;Viet Nam
Meningococcal meningitis;United Kingdom
Nil;Nil
Hepatitis A;Estonia
Broad bean wilt virus-1;Spain
Yellow fever;Brazil
Hepatitis A;United States
Crimean-Congo hemorrhagic fever;Russia
Anthrax;Nil
Avian influenza, HPAI H5N1;Viet Nam
Powassan virus encephalitis;United States
Avian influenza;Nil
African swine fever;Russia
Legionellosis;Thailand, India
Avian influenza, H5N1;Egypt
West Nile virus;United States
Unexplained rash illness;United States
Avian influenza, H7N9;China
Ebola;Nil
Prion disease;Nil
Anthrax;United States
COVID-19;Nil
Rickettsiosis;Mexico
MERS-CoV;Saudi Arabia, Jordan, United Arab Emirates
Yellow fever;Brazil
Sheep pox & goat pox;Kazakhstan
Listeria;United States
Japanese encephalitis;India
COVID-19, cat;Nil
Undiagnosed die-off, oyster;Australia
Influenza;Spain
Measles;Afghanistan
Meningitis, meningococcal;Viet Nam
Cholera;Comoros Islands
Conjunctivitis;Pakistan
Botulism;United States
Ebolavirus;Uganda
Chikungunya;Indonesia
Viral gastroenteritis;Nil
Poisoning, belladonna;USA
Hantavirus pulmonary syndrome;USA
Citrus tristeza virus;Belize
Sida golden yellow vein virus;Cuba
Adenovirus;USA
Monkeypox;USA
Blastomycosis;USA
Rift Valley fever;Yemen
Nil;Nil
Listeriosis;Europe
Chronic wasting disease;USA
Acute flaccid myelitis;USA
Rabies;Indonesia
Dengue;Nil
Mycoplasma pneumoniae;United Kingdom
Rabies;India
Avian influenza;Nil
Influenza;China
Ebola hemorrhagic fever;Democratic Republic of the Congo
Malaria;Egypt
Poliomyelitis;Republic of the Congo, Asia, Russia
Salmonellosis;USA
Anthrax;France
Cyclosporiasis;USA
Greening disease;Nepal
Nil;Namibia
Hepatitis E virus;Nil
Dropsy;India
Foot & mouth disease;Palestinian Authority
Rabies;Lithuania
African swine fever;China
Japanese encephalitis;India
Foot & mouth disease;Palestinian Authority
Chikungunya;Italy
Pseudomonas;USA
Rabies;France
Rabies;India
Chikungunya;Singapore
Plague;Madagascar
Chronic wasting disease;USA
Anthrax;Slovenia
Foot & mouth disease;Viet Nam
Anthrax;Russia
Plague;USA
Meningococcal disease;Nil
COVID-19;Nil
Hand, foot & mouth disease;USA
Equine herpesvirus;USA
BSE;Austria, Italy
Influenza;Iran, Pakistan
Trypanosomiasis;Netherlands, Tanzania
Dengue/DHF;Nil
Foot and mouth disease;Israel
Salmonellosis;Israel
Botulism;USA
MERS-CoV;Saudi Arabia
Foot & mouth disease;South America
Influenza pandemic 1918 virus;Nil
Avian influenza;Nil
MERS-CoV;Saudi Arabia
Undiagnosed die-off, fish;USA
Chikungunya;Indonesia
Foodborne illness;United Kingdom
Avian influenza;China
Rabies;Taiwan
Avian influenza;Europe
Vesicular stomatitis;USA
Ebola;Democratic Republic of the Congo, Guinea
Undiagnosed die-off, poultry;Trinidad
Newcastle disease;Switzerland
Leishmaniasis;Sudan
Hantavirus;USA
Rabbit hemorrhagic disease;Ireland
Dengue/DHF;Nil
Salmonellosis;USA
Meningitis;India
Foot & mouth disease;Brazil
Listeriosis;Australia
Scrapie;Romania
SARS;China
Measles;India
Undiagnosed poisoning;Iraq
American foulbrood, apis;Australia
Cholera, diarrhea & dysentery;Africa
Hepatitis;Nepal
White nose syndrome, bats;USA
Chronic wasting disease, cervid;USA
Dengue;Portugal
Avian influenza;USA
Rabies;India
African swine fever;Romania
Foodborne illness;Turkey
Avian influenza;United Kingdom
Bovine tuberculosis;Canada
Yellow fever;Burkina Faso, Cote d'Ivoire
Botulism, bovine;USA
Aedes albopictus, Dirofilaria vector;Nil
Avian influenza;Nil
BSE, bovine;USA
Leptospirosis;Brazil
Chapare virus;Bolivia
Waterborne diseases;Nil
Frosty pod rot;Jamaica
Rabies;Namibia
Influenza A(H1N1)pdm09;Canada
Coccidioidomycosis;Nil
Cholera, diarrhea & dysentery;Nil
Equine herpesvirus type 1;USA
Malaria;United Kingdom, Italy
Eastern equine encephalitis;USA
Nil;India
Lassa fever;Nigeria
TSE;Nil
Brown rot;Uganda
Hepatitis A;Tajikistan
Melon necrotic spot virus;China
Measles;Canada
Avian influenza;Egypt
Streptococcus group A, scarlet fever;Canada
Dengue/DHF;Nil
Avian influenza;Denmark
BSE;Nil
