COVID-19;United States of America
Foot & mouth disease;Palestinian Authority
Chlamydia pneumoniae;Nil
Hantavirus;Finland
Fusarium wilt;United Kingdom
Anthrax;India
Rabies;United States of America
Yellow fever;Cameroon
Leishmaniasis;Italy
Bluetongue;Germany
Tick-borne encephalitis;Russia
Dengue;Americas
Tularemia;United States of America
Rabies;United States of America
Anthrax;Tanzania
Foot & mouth disease;Argentina
Strangles;Canada, United States of America
Yellow fever;Brazil
Anthrax;Russia
Nil;Hungary
Nil;Cameroon
Nil;United States of America, New Zealand
Trypanosomiasis;Uganda
Meningococcal disease;Nil
Campylobacteriosis;United States of America
Dengue;Malaysia
Typhoid fever;Nil
Listeriosis;United States of America
West Nile virus;Nil
Gastroenteritis;Ireland
Leishmaniasis;Suriname
Avian influenza;Canada
Anthrax;Sudan
Amebic meningoencephalitis;United States of America
Measles;Nil
Feline calicivirus;United States of America
Foot & mouth disease;Saudi Arabia
Bluetongue;Switzerland
Cholera;Nil
Yellow fever;Brazil
Hepatitis A;United States of America
Yellow fever;Sudan
Rift Valley fever;Sudan
Undiagnosed vesicular disease;Pakistan
West Nile virus;Nil
Hemorrhagic septicemia;India
Anthrax;Namibia
Chikungunya;Americas, Pacific
Avian influenza;United Kingdom, Germany
Ebola;Congo DR
Avian influenza;Indonesia
Nil;USA
Rabies;Yemen
Ebola;Mali (ex Liberia)
Schmallenberg virus;Europe
Foodborne illness;Mexico
Lassa fever;Nigeria
Poliomyelitis;Indonesia
Undiagnosed deaths;Brazil (PA)
Lassa fever;Nigeria, West Africa
Cholera, diarrhea & dysentery;Americas
West Nile virus;USA
Undiagnosed deaths;South Sudan
Monkeypox;USA (TX) ex Nigeria
Ebola hemorrhagic fever;Uganda
Undiagnosed illness;Russia ex China
Food poisoning;Australia (Victoria)
Undiagnosed diseases;South Sudan
Hantavirus;Argentina (BA)
Ebola;Liberia, Sierra Leone
Anthrax;Guinea
Avian influenza;Eurasia
Brucellosis;Canada (BC)
E. coli;USA
Foot & mouth disease;Mongolia
Eastern equine encephalitis;USA (OH)
Dengue/DHF;Singapore
Yellow fever;Cote d'Ivoire
Dengue/DHF;Nil
Lumpy skin disease;Turkey
Onchocerciasis;Cote d'Ivoire (Yamoussoukro)
Nil;Dengue Course
Hepatitis E;Japan
Eastern equine encephalitis;USA (SC)
Invasive tick;USA (NY)
Foodborne illness;Turkey (MN)
Ebola hemorrhagic fever;Congo Republic
Hepatitis A;Thailand
Typhoid fever;Guatemala (PE)
West Nile virus;Nil
Encephalopathy;Democratic Republic of the Congo
Nil;Europe
Ehrlichiosis;USA (Connecticut)
Foot & mouth disease;Zimbabwe
Leptospirosis;Germany ex Dominican Republic
Giardia;Australia (Sydney)
Citrus canker;Australia (QLD)
Typhoid fever;Ukraine (Donetsk region)
Rabies;Americas (USA)
Brucellosis;Australia (NS)
Plague; Uganda 
Late blight; India, Canada 
MERS-CoV; Thailand, Oman 
Undiagnosed gastrointestinal illness; Dominica 
Alcohol contamination; Russia 
Avian influenza; Benin 
Plague, bubonic; Namibia 
Ebola; Guinea 
Anisakiasis; Portugal 
Listeriosis, nosocomial; Norway 
Yellow fever; Angola 
African horse sickness; Swaziland 
Ring rot; Australia 
Amebic meningoencephalitis, primary; Vietnam 
Lassa fever; West Africa, Benin 
West Nile virus; Russia 
Banana bunchy top; Pakistan 
Bluetongue; United Kingdom 
Bird die-off; Argentina 
Hemorrhagic fever; Iraq 
Rabies; USA 
Schistosomiasis; Nil 
Foot & mouth disease; China 
Foot & mouth disease; Vietnam 
MERS-CoV; Saudi Arabia 
COVID-19; Estonia 
Yellow fever; Burkina Faso 
COVID-19; Nil 
Chikungunya; Mauritius, Reunion Island 
Yaws, maternal/neonatal tetanus; India 
Undiagnosed disease, porcine; China 
Leptospirosis; Malaysia 
Feline spongiform encephalopathy; Switzerland 
Nipah virus; India 
Measles; Germany, Zimbabwe 
Ocular herpes; Nil 
Monkeypox; USA 
African swine fever; Poland 
Anthrax; USA 
COVID-19; North Korea 
Syphilis; Denmark 
Pertussis; USA 
Nil; Nil 
Leishmaniasis; Argentina 
Rabies; USA 
Undiagnosed deaths, human & porcine; Democratic Republic of the Congo 
Cholera, diarrhea & dysentery; Democratic Republic of the Congo 
Anthrax; USA 
Foot & mouth disease, bovine; Iran 
Tick-borne encephalitis; Germany
Anisakiasis;Japan
Drug abuse, synthetic drugs;United States
Leishmaniasis;Spain
Avian influenza, H5N1;China, Viet Nam, Egypt
MERS-CoV;Qatar, Saudi Arabia
Typhoid fever;Kenya
Swine fever/Hog Cholera;Belgium
Coffee wilt disease;Tanzania
Pertussis;United States
Dengue/DHF;Nil
Endophyte toxicosis;United States
Crimean-Congo hemorrhagic fever;Pakistan
Streptococcus suis;Viet Nam
Clostridium perfringens;United States
Measles;New Zealand
Vesicular stomatitis;United States
Malaria prophylaxis;Dominican Republic
Kyasanur Forest disease;India
Poliomyelitis;Philippines, Pakistan
Rabies;United States
Japanese encephalitis;Nepal
Hepatitis E;United Kingdom
Influenza A (H1N1);Nil
Malaria;Angola
Equine influenza;Israel
Anthrax vaccine safety & efficacy;United States
Chronic wasting disease;United States
Varroa mite;United States
MERS-CoV;Saudi Arabia
Guillain-Barre syndrome;Costa Rica
Dengue/DHF;Malaysia
Influenza;China
Chemical weapons;Syria
Undiagnosed fungus;Guatemala
Acanthamoeba keratitis;United Kingdom
Cholera, diarrhea & dysentery;Nil
Equine herpesvirus;United States
Hemorrhagic septicemia;Philippines
E. coli EHEC;Norway
Influenza vaccine;Nil
Brucellosis;Israel
Salmonellosis;United States
Hand, foot & mouth disease;China
Rotavirus;Russia
Chikungunya;Thailand
BSE, bovine;Spain
Arsenic poisoning;France
Tomato yellow leaf curl;United States
Cyclospora;United States, Canada
Plague;Madagascar
Aflatoxin;Turkey
Cholera, diarrhea & dysentery;Nigeria, India
Nil;Nil
Ebola;Guinea, India, Slovenia
Chikungunya;India
Anthrax;Argentina
Yellow Fever;Brazil
Botulism;Uganda
Lumpy skin disease, bovine;Cyprus
Cholera, diarrhea & dysentery;Nil
Dengue;Fiji
Avian influenza;Saudi Arabia
Gastroenteritis;Scandinavia, Turkey
Vaping-related illness;USA
Typhoid fever;Zimbabwe, India
Lassa fever;Nigeria
E. coli EHEC;USA
Septoria;France
E. coli EHEC;USA
Vesicular stomatitis;USA
Undiagnosed illness;Fiji
Cholera, diarrhea & dysentery;Nil
Feline spongiform encephalopathy;Switzerland
Poliomyelitis;Afghanistan, Democratic Republic of the Congo, Nigeria
Foot & mouth disease, bovine;Ecuador
Dengue;Tonga
Hendra virus, equine;Australia
Influenzaviruses;Nil
Cholera, diarrhea & dysentery;Nil
Botulism;Canada
Leishmaniasis;Syria
Barley yellow dwarf virus;USA
MERS-CoV;Qatar, Saudi Arabia
Arsenic poisoning;China, Armenia
BSE;France
Undiagnosed illness;Tanzania
Leptospirosis;Jamaica
Dengue;Philippines
Measles;Brazil, Paraguay
Streptococcus, group A, scarlet fever;Guernsey
Newcastle disease;Sweden
Measles;Nil
Avian influenza;Chile
Avian influenza;Russia
White nose syndrome, bats;Canada
Cholera, diarrhea & dysentery;Nil
Crimean-Congo hemorrhagic fever;Pakistan
Hantavirus;Chile
Candida auris;Panama
Plague;USA
Avian influenza H7;North America
Blue-green algae;United States (Vermont)
Dengue/DHF;Nil
Legionellosis;United States (New York City)
Anthrax;Zimbabwe
Avian influenza;Palestinian Authority (Gaza)
Cucumber mosaic virus;India (Punjab)
Avian influenza;Indonesia
Tuberculosis;United States (North Dakota)
Peste des petits ruminants;Pakistan (Sindh)
Porcine epidemic diarrhea;United States (Michigan)
Equine infectious anemia;United States (Tennessee)
Japanese encephalitis;India (Bihar)
Equine herpesvirus;United States (North Dakota)
Rabbit hemorrhagic disease virus;United States (Minnesota)
Cryptosporidiosis;Spain (Majorca)
Hantavirus pulmonary syndrome;United States (Arizona)
Salmonellosis;Georgia (Kobuleti)
Rabies;India (Punjab)
Rabies;Algeria (Tizi Ouzou)
Dengue;Colombia
Botulism, avian;United States (New York)
Rabies, canine, human;Indonesia
Salmonellosis;Europe, Canada
Anthrax;Lesotho
Anthrax;Malawi (Mangochi)
Influenza;India (Rajasthan)
COVID-19;Democratic Republic of the Congo
Anthrax;Russia (Yakutia)
Japanese encephalitis;Australia
La Crosse encephalitis;United States (North Carolina)
Rabies, animal, human;Africa, Asia
Lassa fever;Sierra Leone
Nil;Zimbabwe
Rabbit hemorrhagic disease;United Kingdom (England)
Leptospirosis;Singapore
Q fever;Spain (Basque Country)
West Nile virus;Greece
White nose syndrome, bats;North America (Minnesota)
Dengue;United States (Hawaii)
Lumpy skin disease;Russia (Omsk), Kazakhstan (Akmola)
Nil;Czech Republic
Sheep pox & goat pox;Bhutan (Jigme Khesar Strict Nature Reserve)
Hepatitis A;Sri Lanka (Gampola)
Infectious hematopoietic necrosis, trout;Czech Republic
Nil;Kiribati
Nil;Nil
Avian influenza;Netherlands (Flevoland)
Rabies;United States (Wisconsin)
Botulism;United States
Typhoid fever;Nil
Hepatitis A;Malaysia
Avian influenza;France, United Kingdom, Slovenia
Eastern equine encephalitis;USA
Ramularia leaf spot;United Kingdom
Typhoid fever;Pakistan
Influenza;Nil
Cholera, diarrhea & dysentery;Nil
Scrapie;Japan
Peste des petits ruminants;Nil
Undiagnosed illness;USA
Hantavirus pulmonary syndrome;Peru
Undiagnosed deaths;Brazil
Anthrax;United Kingdom
Undiagnosed disease;India
Yellow fever;Brazil
Anthrax;USA
Vibrio vulnificans infections;Sweden
Facial paralysis;Mexico
E. coli;Nil
Chikungunya;India
Avian influenza;Denmark
West Nile virus;Nil
Bluetongue;Spain
Chronic wasting disease;USA
Vesicular stomatitis;USA
Jamestown Canyon virus;USA
Antibiotic resistance;USA
Yellow fever;Brazil
Botulism;Russia
Hantavirus;USA
Avian influenza;Taiwan
Influenza vaccine;Nil
Fascioliasis;Cape Verde
Epizootic hemorrhagic disease;USA
COVID-19;Nil
Melioidosis;Australia
Measles;Gibraltar
Mycoplasma mortality;USA
Syphilis;USA
Watermelon disease;USA
Japanese encephalitis;India
St. Louis encephalitis;USA
Psittacosis;Belgium
Undiagnosed illness;Colombia
Colorado tick fever virus;USA
Poliomyelitis;Nigeria
Influenza A(H1N1) pdm09;Norway
Botulism;Finland, Italy, USA
Avian influenza;China
Colony collapse disorder;Nil
Salmonellosis;USA
Anthrax;Germany
Amebic meningoencephalitis, primary;USA
Syphilis;USA
Equine infectious anemia;USA
E. coli O157;USA
Trypanosomiasis, African;South Africa
MERS-CoV;Saudi Arabia
Klebsiella, antimicrobial resistant;France
Cholera, commercial fishing;East Africa
Measles;Bolivia
Japanese encephalitis;India
Hantavirus;USA
Nil;USA
Leptospirosis, scrub typhus;India
Influenza;USA
Lyme disease;USA
Salmonellosis;USA
Anthrax;Denmark
Leishmaniasis;UK
Meningitis, meningococcal;Australia
Ebola fever;Democratic Republic of the Congo
Meningitis, meningococcal;USA
Zika virus;Nil
Avian influenza;Iran
Ebola virus disease;West Africa, Mali
Zika virus;Americas
Orange rust, sugarcane;USA
Newcastle disease;USA
Avian influenza;South Africa
Newcastle disease;Australia
Filoviruses;Indonesia
Ebola virus disease;Spain, USA
Meningitis, meningococcal;Ghana
Hantavirus;Argentina
Nil;France
Avian influenza;Sweden, Niger
Clubroot, oilseed rape;UK
Campylobacteriosis;USA
Anthrax;Bangladesh
Tick-borne encephalitis;Lithuania
Respiratory infections, fatal, gorillas;Africa
Avian influenza;Indonesia
Hantavirus;USA
Rift Valley fever;Burundi
Salmonella/E.coli;USA
Cholera, diarrhea & dysentery;Yemen
Classical swine fever;Ukraine
Smallpox vaccine;USA
Salmonellosis;United States of America
Pneumonia;China, Hong Kong
Viral hemorrhagic fever, Spotted fever;Brazil
Classical swine fever;Russia
Undiagnosed die-off;Ireland
Avian influenza;United States of America
E. coli;Canada
Prion disease;Nil
Influenza, avian;Italy
Cyclosporiasis;United States of America
Anthrax;Bangladesh
Human enterovirus;Taiwan
Influenza;Canada
Avian influenza;Libya
Yellow fever;Brazil
Influenza;United States of America
Salmonellosis;United States of America
Foot and mouth disease;South Korea
Measles;Cambodia, Sudan, United States of America
Foot and mouth disease;United Kingdom
Ross River virus;Australia
West Nile virus;United States of America
Zika virus;Brazil
Trichinellosis;France, Algeria
Avian influenza;Indonesia
Mumps;Canada
Japanese encephalitis;India
Chikungunya;Mauritius, Reunion Island
Strangles, equine;Australia
Avian influenza;Greece
Coconut leaf spot, blight;India
Pasteurella, bovine;Philippines
Bovine tuberculosis;United States of America
West Nile virus;United States of America
E. coli;United States of America
Hantavirus;Panama
West Nile virus;Greece
African swine fever;Democratic Republic of the Congo
COVID-19;China, South Korea, Nigeria
COVID-19;Philippines
Bovine neonatal pancytopenia;Nil
Schmallenberg virus;Netherlands
Chronic wasting disease;Canada
Schmallenberg virus;Germany
Bluetongue;Spain
Viral gastroenteritis;Nil
Listeriosis;United States of America
Poliomyelitis;Ethiopia, Somalia
Yellow fever;Brazil
Bioterrorism, food safety;Nil
Ebola virus disease;United States, Liberia
Avian influenza;Netherlands
Burkholderia cepacia;United States
Avian influenza;Netherlands
Classical swine fever;Bulgaria, Romania, Luxembourg
Diphtheria;Yemen
Diphtheria;Americas
Rabbit hemorrhagic disease;Senegal
Pale cyst nematode;Denmark
Monkeypox;Democratic Republic of the Congo
Anthrax;Namibia
Avian influenza;South Korea
Bacterial black rot;Uganda
African trypanosomiasis;Togo
Leptospirosis;Dominican Republic
Foot and mouth disease;Lebanon
Nil;Nil
Nil;Bangladesh
Nil;Australia, Americas
Salmonellosis;United States
Plague;United States
Crimean-Congo hemorrhagic fever;Pakistan
Tuberculosis;United States
Hendra virus;Australia
Tularemia;United States
Yellow fever;Angola
Norovirus;Dominican Republic
Salmonellosis;Canada
Foodborne illness;United States
Classical swine fever;Russia
Nil;Nil
Anthrax;Argentina
Rabies;Qatar, Nepal
MERS-CoV;Saudi Arabia, Oman
Measles;United States, Philippines
Nil;Israel
Dengue;United States
Novel henipa-like virus;China
Hepatitis A;Russia
West Nile virus;Canada
Cholera, diarrhea & dysentery;Yemen
Cholera, diarrhea & dysentery;Haiti
Ebola virus disease;West Africa, China, United Kingdom, Nigeria
Foot and mouth disease;Cyprus
Botulism;United Kingdom
Marburg hemorrhagic fever;Angola
SARS;Shanxi
Nil;United Kingdom
Nil;United States
Influenza pandemic (H1N1 2009);Norway
Dengue;United States (Hawaii)
Salmonellosis;United States (Indiana)
Anthrax;United Kingdom (Scotland)
Avian influenza;Indonesia
Banana streak disease;Belgium
Influenza pandemic (H1N1);United States (Nebraska)
Avian influenza;Canada (British Columbia)
Nil;Nil
Legionellosis;Spain (Galicia)
Newcastle disease;Philippines (Cagayan Valley)
Rinderpest;Nil
White nose syndrome;United States (Alabama)
Measles;Nil
SARS;Nil
Anthrax;Botswana (Chobe)
Legionellosis;Spain (Galicia)
Avian influenza;Germany (Schleswig-Holstein)
Red blotch disease;United States (Washington)
Old World screwworm;Singapore (Singapore Zoo)
Cholera;United States (Massachusetts)
Plague;Madagascar
Avian influenza;Nepal
Rabies;United States (Alaska)
COVID-19;Nil
Glanders;Switzerland (Solothurn)
Bovine tuberculosis;France (Normandy)
Rabies;Bolivia
West Nile virus;Nil
Measles;United States (Illinois)
Measles;Nil
Lymphogranuloma venereum;Nil
Poliomyelitis;Indonesia
Cholera, diarrhea & dysentery;Americas
Chikungunya;Indonesia (Central Java)
Zika virus;Americas, Asia
Japanese encephalitis;India (Manipur, Odisha)
West Nile virus;Canada
Sea star die-off;United States (West Coast)
Vibrio vulnificus;United States (Texas)
Poliomyelitis;Pakistan, Democratic Republic of the Congo
African swine fever;Russia (Krasnodar)
West Nile virus;Argentina
Avian influenza;South Korea (Chungnam)
Raspberry ban;Canada (Quebec)
Dengue;Dominican Republic
Typhoid fever;Nil
Influenza A;United States (Alaska), Canada (Yukon)
Chikungunya;Malaysia
Malaria;Liberia
Avian influenza;China (Guangdong)
Salmonellosis;United States of America
Hepatitis A;United States of America
Avian influenza;Egypt
Rabies;Brazil
Dengue, Dengue Hemorrhagic Fever;Cuba
Salmonellosis;United States of America
Papular stomatitis;United States of America
African horse sickness;Lesotho
Anthrax;Zimbabwe
Anthrax;Zimbabwe
Murine typhus;United States of America
Rabies;Costa Rica
Yellow fever;Spain
Nil;Democratic Republic of the Congo
Lumpy skin disease;Mongolia
Nil;Sudan
Hand, foot & mouth disease;China
Avian influenza;Canada
Rabies;United States of America
Bolivian hemorrhagic fever;Bolivia
Smallpox;Nil
HIV;Indonesia
Cholera, diarrhea & dysentery;Nil
Avian influenza;Taiwan, Nigeria, India
Newcastle disease;Israel
HIV;Nil
Avian influenza;Thailand
Malaria;India
Hantavirus;United States of America
Measles;Nil
Anthrax;Kenya
Oily spot disease;India
Eastern equine encephalitis;United States of America
Avian influenza;Taiwan
Leishmaniasis;Afghanistan
Acute febrile disease;Iceland
Hemorrhagic fever;Canada, Democratic Republic of the Congo
Norovirus;Slovenia
Middle East Respiratory Syndrome Coronavirus;Saudi Arabia, United Arab Emirates
Phocine distemper virus;Sweden
Tularemia;United States of America
Cowpea mild mottle virus;Argentina
Dengue, Dengue Hemorrhagic Fever;Nil
Nil;Nil
Tuberculosis;Canada
Influenza A (H1N1);Argentina
Kunjin virus;Australia
Salmonellosis;United States of America
Avian influenza;Denmark
Foot & mouth disease;China
Avian influenza;poultry, United States
Citrus blast disease;Turkey
Anthrax;Mongolia
Ebola hemorrhagic fever;Gabon, Republic of the Congo
Schmallenberg virus;Azerbaijan, Poland
Cholera, diarrhea & dysentery;Nil
Lumpy skin disease;Russia
Foot rot;Australia
Schmallenberg virus;Belgium
Plum pox virus;Canada
Gonococcal conjunctivitis;Australia
Cholera;Uganda
Tomato golden mottle virus;Mexico
Rabies;Indonesia
Anthracnose;Vanuatu
Epizootic ulcerative syndrome;Southern Africa, Zambezi River
Botulism;Canada
Syphilis;United Kingdom, Scotland
Hepatitis B, Hepatitis C;Pakistan, Islamabad
Meningococcal disease;Nil
Snake fungal disease;United States
Salmonellosis;United States
E. coli EHEC;United Kingdom
Amebic meningoencephalitis;Pakistan
Avian influenza, H5N1;Viet Nam, DT
Typhoid fever;Zimbabwe
E. coli EHEC;United States
Foot & mouth disease;South Africa
Anthrax;Bangladesh, SR, PB
Anthrax;United States, TX
Rabies;Indonesia, BA
Equine encephalosis;Nil
Anthrax;United States
Poliomyelitis;India, Nigeria
Japanese encephalitis;India, Delhi, MP
Anthrax;United States
Leaf spot;Saint Vincent and the Grenadines
Undiagnosed respiratory illness;United States, TX
Foot & mouth disease;Palestinian Territories, WE
Bovine ephemeral fever;Israel
Avian influenza;Bulgaria, KK, PD
Rinderpest;Nil
Malaria;Nigeria, BY
Foot & mouth disease;South Africa, MP
Dengue/DHF;Nil
Adenovirus;United States, FL
Anthrax;Guinea, KB
Undiagnosed illness;Angola, LU
E. coli EHEC;Japan, HK
Plague;United States, GA, CA
Murine typhus;United States
Nil;South Africa
Trypanosomiasis, African;United States, Botswana, Zambia
Toxic algae;United Kingdom
Marburg hemorrhagic fever;Angola
MERS-CoV;Saudi Arabia
Hepatitis C;India
Measles;Nil
Conjunctivitis;South Korea
Avian influenza;Ghana
Monkeypox;Nil
Plague;United States
Anthrax;Argentina, Brazil
Anthrax;Indonesia
West Nile virus;United States
Salmonellosis;Australia
Peste des petits ruminants;Kenya
Anthrax;Canada
COVID-19;Nil
Trypanosomiasis;Uganda
Nil;Nil
Tularemia;United States
Salmonellosis;Australia
Dengue;Australia
Ringworm;Canada
Rabies;United States
COVID-19;France
Plague;United States
Leishmaniasis, visceral;South Sudan
Salmonellosis;United States
Nil;Afghanistan
Salmonellosis;United States
Avian influenza;Russia
Chikungunya;Malaysia
Nil;Germany
Avian influenza;Nil
Cholera, diarrhea & dysentery;Cuba
Chikungunya;Reunion
Anthrax;Namibia
Novel coronavirus;United Kingdom
Nil;New Zealand
Yellow fever;Brazil
St Louis encephalitis virus;United States
Nil;Russia
E. coli O157;United States
Yellow fever;Sudan
Influenza;Nil
Streptococcus, group A, scarlet fever;United Kingdom
Adenovirus;Hong Kong, Qatar
Typhoid fever;Taiwan, Pakistan
Foot & mouth disease;Russia
Scrub typhus;India
HIV;Cambodia
Ebola virus disease;Sierra Leone
Vesicular stomatitis;USA
Nil;Nil
HTLV-4;Gabon
Salmonellosis;USA
Nil;Nil
Cucurbit aphid-borne yellows virus;Netherlands
Measles;Zambia
Dengue/DHF;Nil
Rabies;USA
Avian influenza;Nil
Influenza;USA
Leptospirosis;USA
Anthrax;Argentina
Anthrax;Zimbabwe
Anthrax;Transnistria
Foot & mouth disease;Malaysia
Measles;Nil
Catfish tumor;USA
Whirling disease;USA
Dengue/DHF;Vietnam
Japanese encephalitis;India
Classical swine fever;Guatemala, Belize
Enterovirus 71;Taiwan
Equine piroplasmosis;Netherlands
Anthrax;Kyrgyzstan
Poliomyelitis;Angola, Democratic Republic of the Congo, Chad
Avian influenza;Turkey
Brucellosis;Kyrgyzstan
Anthrax;Uganda
Eastern equine encephalitis;USA
Staph. aureus (MRSA);Canada, USA
Dengue;Vietnam
Lassa fever;United Kingdom, Mali
Lassa fever;United Kingdom, Sierra Leone
Nil;Bangladesh
Leptospirosis;Philippines
Bluetongue;Morocco
Ballina virus;Australia
Influenza;USA
Hand, foot & mouth disease;Philippines
Wart disease;Sweden, Germany
Enterovirus 71;Malaysia, Japan, Taiwan
Foodborne illness;Australia
West Nile virus;Nil
E. coli;Canada
Equine infectious anemia;Canada, USA
Anthrax;India
West Nile virus;Europe, Italy
Krokodil;Mexico
Phosphine;Ukraine
Novel coronavirus;China
Typhoid fever;Australia, Papua New Guinea
Listeriosis;USA, Canada
Malaria;India
Hepatitis A;Russia
Ebola hemorrhagic fever;Kenya
Pseudorabies;USA
Hendra virus;Australia
Avian influenza;Turkey, United Kingdom, Pakistan
Nil;Nil
Influenza pandemic (H1N1);Nil
Q fever;Spain
African swine fever;Nepal
Dioxin feed contamination;Germany
Tularemia;Italy
Epizootic hemorrhagic disease;USA
Foot & mouth disease;Iraq
Hepatitis A;Czech Republic
Syphilis, gonococcal disease, chlamydia;USA
Foot & mouth disease;South Korea
Ebola virus disease;USA
Rabies, Clostridium disease;Belize
Rinderpest;Pakistan
Nil;Nil
Avian influenza;Indonesia
Equine infectious anemia;Uruguay
Cholera;Russia
Tobacco ringspot virus;USA
Water contamination;China
Measles;Switzerland, France
Circovirus;USA
African swine fever;Uganda
Scombroid poisoning;Israel
Ethyl glycol poisoning;Nil
Avian influenza;North Korea
Avian influenza;Indonesia
Equine Influenza;Australia
Avian influenza;Eastern Asia
Poliomyelitis;Pakistan, Democratic Republic of the Congo, Angola
Nil;Nil
Nil;Nil
African swine fever;Cambodia
Dengue/DHF;Nil
Theileria;Australia
Salmonella;USA
Cytauxzoonosis;USA
Dengue/DHF update 2008;Nil
Nil;Nil
Hantavirus;Germany
Gonococcal disease;Taiwan
Nil;USA
E. coli O157;Switzerland
Diphtheria;Canada
Rabies;China
Stripe rust,Stem rust,Leaf rust;Ethiopia
Bovine tuberculosis;United Kingdom
Leptospirosis;Ukraine
Botulism;China, Hong Kong
Leishmaniasis;USA
Foot & mouth disease;South Korea
BSE update 2004;Nil
Trypanosomiasis;India
Norovirus;Japan
Yersiniosis;Russia
Avian influenza;China
Red tide;USA
Aseptic meningitis;USA
Typhoid fever update 2006;Nil
Mumps;Canada
Nil;Australia
Dengue/DHF update 2006;Nil
Nil;El Salvador
Brucellosis;Bulgaria
Campylobacteriosis;USA
Salmonellosis;Singapore
Meningococcal disease update 2007;Nil
Histoplasmosis;Guyana
Avian influenza;Russia, Viet Nam, China
Trichinellosis;Poland
Nil;India
Hepatitis E;Nigeria
E. coli O157;Japan
Toxic ingestion;USA
Hantavirus;Panama
Shigellosis;USA
Infant botulism;USA
Cholera,diarrhea & dysentery update 2006;Nil
Salmonellosis;USA
Die-off, fish;Viet Nam
Rabbit hemorrhagic disease;USA
Legionellosis;USA
Coronavirus;Saudi Arabia, United Kingdom
Cholera,dysentery;Burundi
Avian influenza;Ireland, Portugal
Salmonellosis;USA
Antibiotic resistance, Salmonella typhi;India
Cholera, diarrhea & dysentery;Cameroon, Nigeria
E. coli;United States of America
Influenza;Nil
Bovine tuberculosis;Canada
MERS-CoV;Qatar
Dengue/DHF;Nil
COVID-19;Nil
Hand, foot & mouth disease;Vietnam
Cholera;China
Cholera, diarrhea & dysentery;Americas
Undiagnosed deaths, Hantavirus;Brazil
Chikungunya;Asia
Lyme disease;United Kingdom
African swine fever;Georgia
COVID-19;Israel, WHO
Undiagnosed illness;Spain
Meningococcemia;Dominican Republic
Foot & mouth disease;South Korea
Peste des petits ruminants;Israel
Rabies vaccine;Nil
COVID-19;Nil
Avian influenza;Taiwan
Hepatitis A, Hepatitis B, Hepatitis C;Kuwait
Bluetongue;Morocco
Disease surveillance;Indonesia
Intestinal helminths;Kenya
Anthrax;Zimbabwe
Q fever;United States of America
Peste des petits ruminants;Iran
Influenza, H5N1;China
Streptococcus group A;Costa Rica
Pseudorabies;Finland
Hantavirus;Panama
Hantavirus;United States of America
African swine fever;Russia
Meningitis, meningococcal;Sweden, United Kingdom
Ebola;Democratic Republic of the Congo
Yellow fever vaccine-associated death;Spain
Announcements;New Zealand
Plague;Kazakhstan
Foot & mouth disease;Japan, South Korea
Schmallenberg virus;Europe, Italy
Cholera, diarrhea & dysentery;Africa, Asia, Ukraine
Melioidosis;Singapore
MERS-CoV;Saudi Arabia, United Arab Emirates, Oman
Anthrax;United States of America
Influenza;United States of America
Chikungunya;India
Ralstonia;United States of America
Nobel prize in medicine;Nil
Foot & mouth disease;Argentina
Avian influenza;Africa, Europe
Hepatitis C;India
Cholera, diarrhea & dysentery;Yemen
Nil;Nil
Nil;Nil
Bovine Spongiform Encephalopathy (BSE);Germany
Avian influenza;Netherlands
Influenza;Nil
Middle East Respiratory Syndrome Coronavirus (MERS-CoV);Saudi Arabia, South Korea
Ciguatera fish poisoning;China (Hong Kong)
Nil;USA (Massachusetts)
Severe Acute Respiratory Syndrome (SARS);Singapore
Classical swine fever;Bhutan
Lassa fever;Nigeria
